3
conspicuous (adj.)
standing out so as to be clearly visible
fastidious (adj.)
very attentive to, and concerned about, accuracy and detail
subvert (v.)
undermine the power and authority of (an established system or institution)
nascent (adj.)
just coming into existence and beginning to display signs of future potential
empathy (n.)
the ability to understand and share the feelings of another
errant (adj.)
straying from the proper course or standards
blithe (adj.)
showing a casual and cheerful indifference considered to be callous or improper
blithe (adj.)
happy or joyous
hark (v.)
to listen
manifold (adj.)
many and various
nigh (adv.)
near; almost
frivolous (adj.)
not having any serious purpose or value
discontented (adj.)
dissatisfied, especially with one's circumstances
tidings (n.)
news; information
visage (n.)
a person's face, with reference to the form or proportions of the features
